Issue No.,Issue Summary,Issue Description,Comment 1,Comment 2,Comment 3,Final Outcome
1,API - Agent API Missing Hire Date,API not always returning hireDate; affects some agents. Example agent returns null; observed since March 2026.,UserHub sending null HireDate to ACD; needs fix via lambdas.,UserHub API has value; mismatch due to different data source.,InData sync via lambda missing correct value; ACD ready; UserHub action needed.,Moved to UserHub team; product discussion initiated.
2,Agents Receiving Email Interactions in Unavailable Status,Agents received emails while unavailable due to Auto Parked Email limit changed from 0 to 25 without approval.,Initial investigation; suspected system/previous changes.,Static Delivery used; recommend Omni Channel to avoid issue.,Auto reset caused by weekly job/UserHub updates; bug AAD-47814 logged and fix planned.,Customer informed; KI planned; recommend Omni Channel migration.
3,Emails not routed to correct agents,Customer reported inconsistent behavior affecting multiple agents across business units.,Bug logged for further tracking.,Bug logged for further tracking.,UserHub data not reflecting correctly in ACD.,Client advised workaround and best practices.
4,Agents stuck in unavailable state,Problem replicated in lower environment; logs indicate possible sync or configuration issue.,Logs indicate possible delay in lambda sync.,Requires validation from API and backend services.,Requires validation from API and backend services.,Client advised workaround and best practices.
5,POC not linked to Business Unit,Problem replicated in lower environment; logs indicate possible sync or configuration issue.,Routing engine behaving as per current configuration.,Initial investigation suggests configuration mismatch.,Weekly maintenance job might be overwriting values.,Routed to respective team for further action.
6,Agents stuck in unavailable state,Problem replicated in lower environment; logs indicate possible sync or configuration issue.,Routing engine behaving as per current configuration.,Bug logged for further tracking.,Requires validation from API and backend services.,Monitoring enabled for future validation.
7,Agents stuck in unavailable state,Customer reported inconsistent behavior affecting multiple agents across business units.,Routing engine behaving as per current configuration.,Routing engine behaving as per current configuration.,Needs cross-team investigation (ACD + UserHub).,Routed to respective team for further action.
8,Chat interactions delayed in queue,Customer reported inconsistent behavior affecting multiple agents across business units.,Needs cross-team investigation (ACD + UserHub).,Requires validation from API and backend services.,Initial investigation suggests configuration mismatch.,Bug fix deployed to production.
9,POC not linked to Business Unit,Observed issue in ACD where expected behavior is not occurring. Investigation required across routing and data sync.,UserHub data not reflecting correctly in ACD.,UserHub data not reflecting correctly in ACD.,Needs cross-team investigation (ACD + UserHub).,Client advised workaround and best practices.
10,POC not linked to Business Unit,Customer reported inconsistent behavior affecting multiple agents across business units.,Initial investigation suggests configuration mismatch.,Needs cross-team investigation (ACD + UserHub).,Routing engine behaving as per current configuration.,Client advised workaround and best practices.
11,Disposition notes not saving after call,Customer reported inconsistent behavior affecting multiple agents across business units.,Logs indicate possible delay in lambda sync.,Requires validation from API and backend services.,Initial investigation suggests configuration mismatch.,Issue resolved via configuration correction.
12,Agents stuck in unavailable state,Problem replicated in lower environment; logs indicate possible sync or configuration issue.,Routing engine behaving as per current configuration.,Weekly maintenance job might be overwriting values.,Requires validation from API and backend services.,Bug fix deployed to production.
